Election Cycle ,Candidate,Board Meeting Date,Violation,Current Violation Name,Final Board Determination
2013,"Saujani, Reshma",06/15/2017,"Accepting contributions from corporations, limited liability companies, or partnerships","Accepting contributions from corporations, limited liability companies, or partnerships",$550
2013,"Saujani, Reshma",06/15/2017,Failing to document transactions,Failing to document transactions,"$1,200"
2013,"Saujani, Reshma",06/15/2017,Failing to demonstrate compliance with intermediary reporting and documentation requirements,Failing to demonstrate compliance with intermediary reporting and documentation requirements,$500
2013,"Saujani, Reshma",06/15/2017,Failing to demonstrate that spending was in furtherance of the campaign,Failing to demonstrate that spending was in furtherance of the campaign,"$1,145"
2013,"Saujani, Reshma",06/15/2017,Making impermissible post-election expenditures,Making impermissible post-election expenditures,"$2,760"
2013,"Saujani, Reshma",06/15/2017,Payment: Unpaid PF Claims,Payment: Unpaid PF Claims,"($32,262)"
2013,"Testaverde, Anthony",06/15/2017,Failing to demonstrate compliance with cash receipts reporting and documentation requirements,Failing to demonstrate compliance with cash receipts reporting and documentation requirements,$46
2013,"Testaverde, Anthony",06/15/2017,Failing to report transactions,Failing to report transactions,$53
2013,"Testaverde, Anthony",06/15/2017,Failing to demonstrate compliance with subcontractor reporting and documentation requirements,Failing to demonstrate compliance with subcontractor reporting and documentation requirements,$100
2013,"Testaverde, Anthony",06/15/2017,Failing to file a disclosure statement,Failing to file/filing late disclosure statements,$750
2013,"Testaverde, Anthony",06/15/2017,Failing to respond to the Initial Documentation Request,"Failing to respond/late response to IDR, DAR, etc.","$1,500"
2013,"Testaverde, Anthony",06/15/2017,Late response to the Draft Audit Report,"Failing to respond/late response to IDR, DAR, etc.",$500
2013,"Testaverde, Anthony",06/15/2017,Repayment: FBB,Repayment: Final Bank Balance,"$18,846.36"
2012A,"Nwachukwu, Joseph",05/11/2017,Failing to accurately report cash receipts,Failing to demonstrate compliance with cash receipts reporting and documentation requirements,VNP
2012A,"Nwachukwu, Joseph",05/11/2017,Failing to accurately report disbursements,Failing to demonstrate compliance with reporting requirements for receipts or disbursements,$500
2012A,"Nwachukwu, Joseph",05/11/2017,Failing to report three in-kind contributions,Failing to report transactions,$50
2013,"Mealy, Darlene",05/11/2017,Failing to report transactions,Failing to report transactions,$593
2013,"Mealy, Darlene",05/11/2017,Failing to demonstrate compliance with cash receipts reporting and documentation requirements,Failing to demonstrate compliance with cash receipts reporting and documentation requirements,$465
2013,"Mealy, Darlene",05/11/2017,Failing to demonstrate compliance with reporting requirements for receipts and disbursements,Failing to demonstrate compliance with reporting requirements for receipts or disbursements,"$1,500"
2013,"Mealy, Darlene",05/11/2017,Filing a late disclosure statement,Failing to file/filing late disclosure statements,$50
2013,"Mealy, Darlene",05/11/2017,Failing to file a disclosure statement,Failing to file/filing late disclosure statements,VNP
2013,"Mealy, Darlene",05/11/2017,Accepting contributions from corporations,"Accepting contributions from corporations, limited liability companies, or partnerships","$3,000"
2013,"Mealy, Darlene",05/11/2017,Accepting contributions from an unregistered political committee,Accepting contributions from unregistered political committees,$233
2013,"Mealy, Darlene",05/11/2017,Failing to document a transaction,Failing to document transactions,$100
2013,"Mealy, Darlene",05/11/2017,Late Response to the Initial Documentation Request; Late Response to the Draft Audit Report,"Failing to respond/late response to IDR, DAR, etc.","$1,722"
2013,"Mealy, Darlene",05/11/2017,Repayment: QED,Repayment: Qualified Expenditure Deficit,"$9,499"
2013,"Hidary, Jack",04/13/2017,Failing to report transactions,Failing to report transactions,"$1,983"
2013,"Hidary, Jack",04/13/2017,Failing to demonstrate compliance with reporting requirements for receipts,Failing to demonstrate compliance with reporting requirements for receipts or disbursements,$500
2013,"Hidary, Jack",04/13/2017,Filing a late disclosure statement,Failing to file/filing late disclosure statements,$50
2013,"Hidary, Jack",04/13/2017,Failing to file daily pre-election disclosure statements,Failing to report/late reporting of transactions in daily pre-election disclosure statements,$250
2013,"Hidary, Jack",04/13/2017,Accepting over-the-limit contributions,Accepting over-the-limit contributions,"$10,250"
2013,"Hidary, Jack",04/13/2017,"Accepting contributions from corporations, limited liability companies, or partnerships","Accepting contributions from corporations, limited liability companies, or partnerships",$500
2013,"Hidary, Jack",04/13/2017,Failing to document transactions,Failing to document transactions,$800
2013,"Hidary, Jack",04/13/2017,Maintaining a petty cash fund greater than $500,Maintaining a petty cash fund greater than $500,VNP
2013,"Hidary, Jack",04/13/2017,Converting campaign funds to a personal use,Converting campaign funds to a personal use,$100
2016A,"Curry, Carlton",03/09/2017,Material misrepresentation,Material misrepresentation; fraud; submission of false or ficticious information with Breach,"$10,000"
2013,"Brown, Ricardo",03/09/2017,Failing to report bank and merchant accounts used for campaign purposes,Failing to disclose a bank account or political committee used in furtherance of the campaign,$500
2013,"Brown, Ricardo",03/09/2017,Failing to provide bank/merchant account statements,"Failing to provide bank, credit card, and merchant account statements",$500
2013,"Brown, Ricardo",03/09/2017,Failing to report transactions,Failing to report transactions,$201
2013,"Brown, Ricardo",03/09/2017,Failing to demonstrate compliance with cash receipts reporting and documentation requirements,Failing to demonstrate compliance with cash receipts reporting and documentation requirements,$887
2013,"Brown, Ricardo",03/09/2017,Failing to demonstrate compliance with reporting requirements for receipts and disbursements,Failing to demonstrate compliance with reporting requirements for receipts or disbursements,"$3,000"
2013,"Brown, Ricardo",03/09/2017,Filing late disclosure statements,Failing to file/filing late disclosure statements,"$1,300"
2013,"Brown, Ricardo",03/09/2017,Failing to demonstrate compliance with subcontractor reporting and documentation requirements,Failing to demonstrate compliance with subcontractor reporting and documentation requirements,$50
2013,"Brown, Ricardo",03/09/2017,Accepting over-the-limit contributions,Accepting over-the-limit contributions,"$8,450"
2013,"Brown, Ricardo",03/09/2017,"Accepting contributions from corporations, limited liability companies, or partnerships","Accepting contributions from corporations, limited liability companies, or partnerships","$1,451"
2013,"Brown, Ricardo",03/09/2017,Failing to document transactions,Failing to document transactions,$700
2013,"Brown, Ricardo",03/09/2017,Failing to report and document basic campaign functions/activities,Failing to report and document basic campaign functions/activities,$500
2013,"Brown, Ricardo",03/09/2017,Failing to demonstrate compliance with intermediary reporting and documentation requirements,Failing to demonstrate compliance with intermediary reporting and documentation requirements,VNP
2013,"Brown, Ricardo",03/09/2017,Failing to respond to the Draft Audit Report,"Failing to respond/late response to IDR, DAR, etc.",$500
2013,"Brown, Ricardo",03/09/2017,Failing to demonstrate that spending was in furtherance of the campaign,Failing to demonstrate that spending was in furtherance of the campaign,"$1,661"
2013,"Brown, Ricardo",03/09/2017,Converting campaign funds to a personal use,Converting campaign funds to a personal use,"$19,991"
2013,"Brown, Ricardo",03/09/2017,Commingling campaign funds with personal or business funds,Failing to maintain a separate campaign bank account; using an undisclosed bank account in furtherance of the campaign; commingling campaign funds with personal or business funds or funds accepted for a different election,"$4,815"
2013,"Brown, Ricardo",03/09/2017,Submitting false contribution reporting and documentation,Material misrepresentation; fraud; submission of false or ficticious information,"$6,530"
2013,"Brown, Ricardo",03/09/2017,Material misrepresentation,Material misrepresentation; fraud; submission of false or ficticious information,"$20,000"
2013,"Pabon, Julio",03/09/2017,Repayment: QED,Repayment: Qualified Expenditure Deficit,"$2,796"
2013,"Kallos, Benjamin",01/12/2017,Filing a late disclosure statement,Failing to file/filing late disclosure statements,VNP
2013,"Kallos, Benjamin",01/12/2017,Accepting over-the-limit contributions,Accepting over-the-limit contributions,VNP
2013,"Kallos, Benjamin",01/12/2017,Making impermissible post-election expenditures,Making impermissible post-election expenditures,$183
2013,"Kallos, Benjamin",01/12/2017,Exceeding the expenditure limit,Exceeding the expenditure limit,"$3,244"
2013,"Kallos, Benjamin",01/12/2017,Repayment: FBB,Repayment: Final Bank Balance,$506.56
2013,"Kallos, Benjamin",01/12/2017,Using Campaign funds for inaugural expenses,Failing to demonstrate that spending was in furtherance of the campaign,VNP
2013,"Kurland, Yetta",01/12/2017,Failing to provide bank/merchant account statements,"Failing to provide bank, credit card, and merchant account statements",VNP
